Namespace;Type;Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;ActiveTicketCount;ListSize;ConcurrentTickets;AssetCount;TotalTickets;Mean;Error;StdDev;Median;Ratio;RatioSD;Rank;Gen0;Gen1;Allocated;Alloc Ratio
AssetFlowCore.Benchmarks.Infrastructure;AssetRepositoryBenchmark;'ExistsWithSerialNumberAsync — numéro inexistant';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;100;?;"129,306.31 ns";"5,740.231 ns";"16,469.800 ns";"120,945.12 ns";4.27;0.55;5;42.9688;0.0000;90231 B;2.62
AssetFlowCore.Benchmarks.Infrastructure;CachedRepositoryBenchmark;'Cache miss — premier appel (populate)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;100;?;"158,610.97 ns";"3,051.378 ns";"3,859.017 ns";"158,495.26 ns";5.24;0.15;6;82.0313;0.0000;172081 B;5.00
AssetFlowCore.Benchmarks.Infrastructure;AssetRepositoryBenchmark;'GetAllReadOnlyAsync — AsNoTracking (N assets)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;100;?;"159,231.48 ns";"2,576.863 ns";"3,258.907 ns";"158,276.27 ns";5.26;0.14;6;82.0313;0.0000;171649 B;4.99
AssetFlowCore.Benchmarks.Infrastructure;CachedRepositoryBenchmark;'Sans cache — lecture EF directe';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;100;?;"184,436.06 ns";"14,273.314 ns";"38,831.606 ns";"172,912.94 ns";6.09;1.28;6;82.0313;0.0000;171649 B;4.99
AssetFlowCore.Benchmarks.Infrastructure;MaintenanceTicketRepositoryBenchmark;'GetByIdAsync — ticket connu (1 résultat)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;100;"67,510.10 ns";"1,291.821 ns";"1,487.664 ns";"67,647.69 ns";0.94;0.03;1;19.0430;0.0000;40257 B;1.01
AssetFlowCore.Benchmarks.Infrastructure;MaintenanceTicketRepositoryBenchmark;'CountActiveTickets — asset avec N tickets (Opened+InProgress)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;100;"71,623.59 ns";"1,423.846 ns";"1,262.202 ns";"71,337.98 ns";1.00;0.02;2;18.7988;0.0000;39712 B;1.00
AssetFlowCore.Benchmarks.Infrastructure;MaintenanceTicketRepositoryBenchmark;'CountActiveTickets — asset sans tickets (Guid inconnu)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;100;"71,666.59 ns";"1,399.035 ns";"1,769.331 ns";"71,295.65 ns";1.00;0.03;2;18.7988;0.0000;39496 B;0.99
AssetFlowCore.Benchmarks.Infrastructure;MaintenanceTicketRepositoryBenchmark;'GetByIdAsync — ticket inexistant (0 résultat)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;100;"73,087.84 ns";"4,080.017 ns";"11,706.335 ns";"66,836.40 ns";1.02;0.16;2;18.7988;0.0000;39504 B;0.99
AssetFlowCore.Benchmarks.Application;MappingBenchmark;'Asset.ToDto() — mapping unitaire';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;200;?;?;?;70.13 ns;3.955 ns;11.537 ns;69.41 ns;1.03;0.24;1;0.0573;0.0000;120 B;1.00
AssetFlowCore.Benchmarks.Application;MappingBenchmark;'Ticket.ToDto() — mapping unitaire';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;200;?;?;?;71.52 ns;3.236 ns;9.388 ns;69.41 ns;1.05;0.22;1;0.0612;0.0000;128 B;1.07
AssetFlowCore.Benchmarks.Application;MappingBenchmark;'Liste assets.Select(ToDto) — mapping en masse';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;200;?;?;?;"19,393.01 ns";683.159 ns;"2,014.311 ns";"19,506.52 ns";283.75;53.89;2;12.2986;0.0000;25739 B;214.49
AssetFlowCore.Benchmarks.Infrastructure;CachedRepositoryBenchmark;'Cache hit — appels suivants';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;500;?;754.77 ns;15.094 ns;29.795 ns;758.53 ns;0.01;0.00;1;2.1687;0.0000;4544 B;0.05
AssetFlowCore.Benchmarks.Application.UseCases;GetAllAssetsBenchmark;'GetAll — cache miss (premier appel)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;500;?;"56,255.28 ns";986.730 ns;"1,350.648 ns";"56,383.69 ns";1.00;0.03;2;40.8936;0.0000;85681 B;1.00
AssetFlowCore.Benchmarks.Application.UseCases;GetAllAssetsBenchmark;'GetAll — cache hit (appels suivants)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;500;?;"57,394.70 ns";"1,267.464 ns";"3,512.136 ns";"56,033.69 ns";1.02;0.07;2;41.0767;0.0000;86033 B;1.00
AssetFlowCore.Benchmarks.Infrastructure;AssetRepositoryBenchmark;'GetByIdAsync — asset inexistant (Guid.NewGuid)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;500;?;"244,476.83 ns";"4,717.472 ns";"3,939.303 ns";"244,818.85 ns";4.35;0.12;3;86.9141;0.0000;182790 B;2.13
AssetFlowCore.Benchmarks.Infrastructure;AssetRepositoryBenchmark;'GetByIdAsync — asset connu avec tickets inclus';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;500;?;"284,164.94 ns";"3,537.327 ns";"5,712.125 ns";"283,482.03 ns";5.05;0.15;4;105.4688;13.6719;241135 B;2.81
AssetFlowCore.Benchmarks.Infrastructure;AssetRepositoryBenchmark;'ExistsWithSerialNumberAsync — numéro existant';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;500;?;"514,007.18 ns";"16,048.355 ns";"45,526.515 ns";"494,133.11 ns";9.14;0.83;5;176.7578;34.1797;409630 B;4.78
AssetFlowCore.Benchmarks.Infrastructure;AssetRepositoryBenchmark;'ExistsWithSerialNumberAsync — avec espaces et casse mixte';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;500;?;"519,799.98 ns";"14,215.065 ns";"40,325.776 ns";"502,153.22 ns";9.25;0.75;5;176.7578;35.1563;409806 B;4.78
AssetFlowCore.Benchmarks.Infrastructure;AssetRepositoryBenchmark;'ExistsWithSerialNumberAsync — numéro inexistant';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;500;?;"524,906.11 ns";"16,621.465 ns";"47,690.102 ns";"503,154.20 ns";9.34;0.87;5;178.7109;32.2266;409632 B;4.78
AssetFlowCore.Benchmarks.Infrastructure;AssetRepositoryBenchmark;'GetAllReadOnlyAsync — AsNoTracking (N assets)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;500;?;"846,708.48 ns";"25,580.859 ns";"72,983.635 ns";"812,070.61 ns";15.06;1.34;6;265.6250;99.6094;830166 B;9.69
AssetFlowCore.Benchmarks.Infrastructure;CachedRepositoryBenchmark;'Sans cache — lecture EF directe';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;500;?;"856,400.67 ns";"26,676.020 ns";"75,240.193 ns";"819,570.70 ns";15.23;1.38;6;267.5781;105.4688;830167 B;9.69
AssetFlowCore.Benchmarks.Infrastructure;CachedRepositoryBenchmark;'Cache miss — premier appel (populate)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;500;?;"870,999.52 ns";"40,232.930 ns";"105,282.573 ns";"831,093.26 ns";15.49;1.90;6;267.5781;103.5156;830599 B;9.69
AssetFlowCore.Benchmarks.Infrastructure;MaintenanceTicketRepositoryBenchmark;'CountActiveTickets — asset sans tickets (Guid inconnu)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;500;"247,261.40 ns";"4,916.166 ns";"6,037.493 ns";"246,571.73 ns";0.97;0.03;1;79.5898;0.0000;167341 B;1.00
AssetFlowCore.Benchmarks.Infrastructure;MaintenanceTicketRepositoryBenchmark;'GetByIdAsync — ticket inexistant (0 résultat)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;500;"251,762.24 ns";"5,690.417 ns";"15,188.877 ns";"246,703.32 ns";0.98;0.06;1;78.1250;0.0000;167349 B;1.00
AssetFlowCore.Benchmarks.Infrastructure;MaintenanceTicketRepositoryBenchmark;'CountActiveTickets — asset avec N tickets (Opened+InProgress)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;500;"256,230.76 ns";"4,703.597 ns";"4,830.248 ns";"256,035.84 ns";1.00;0.03;1;79.5898;0.0000;167557 B;1.00
AssetFlowCore.Benchmarks.Infrastructure;MaintenanceTicketRepositoryBenchmark;'GetByIdAsync — ticket connu (1 résultat)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;500;"282,643.54 ns";"16,730.067 ns";"46,636.743 ns";"266,378.12 ns";1.10;0.18;1;80.0781;0.0000;168102 B;1.00
