Namespace;Type;Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;ActiveTicketCount;ListSize;ConcurrentTickets;AssetCount;TotalTickets;Mean;Error;StdDev;Median;Ratio;RatioSD;Rank;Gen0;Gen1;Allocated;Alloc Ratio
AssetFlowCore.Benchmarks.Infrastructure;ExceptionHandlingSerializationBenchmark;'Switch pattern dispatch — DomainException';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;9.510 ns;0.2351 ns;0.3057 ns;9.401 ns;0.26;0.01;1;0.0612;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Infrastructure;ExceptionHandlingSerializationBenchmark;'Switch pattern dispatch — DbUpdateConcurrencyException';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;9.879 ns;0.1608 ns;0.1343 ns;9.949 ns;0.27;0.01;1;0.0650;0.0000;136 B;1.06
AssetFlowCore.Benchmarks.Application;TicketAssignmentEngineBenchmark;'Server → Infrastructure-Serveurs';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;37.197 ns;0.8199 ns;0.7670 ns;36.772 ns;1.00;0.03;2;0.0612;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Application;TicketAssignmentEngineBenchmark;'Network → Réseau-Télécom';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;47.511 ns;0.8981 ns;0.7012 ns;47.449 ns;1.28;0.03;3;0.0612;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Application;TicketAssignmentEngineBenchmark;'Laptop High → Support-VIP';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;58.040 ns;1.0589 ns;0.8842 ns;57.929 ns;1.56;0.04;4;0.0612;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Application;TicketAssignmentEngineBenchmark;'Type inconnu → Support-Général (fallback)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;70.710 ns;1.3645 ns;1.1394 ns;70.791 ns;1.90;0.05;5;0.0612;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Application;TicketAssignmentEngineBenchmark;'Laptop Medium → Support-Lectorat';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;71.029 ns;1.4813 ns;2.2622 ns;70.446 ns;1.91;0.07;5;0.0612;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Domain;AssetStateMachineBenchmark;'Asset.Decommission() — InService → Decommissioned';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;155.866 ns;2.4007 ns;1.8743 ns;155.987 ns;4.19;0.10;6;0.0610;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Domain;MaintenanceTicketStateMachineBenchmark;'Ticket.AssignToTechnician() — Opened → InProgress';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;156.498 ns;2.5543 ns;2.1329 ns;156.974 ns;4.21;0.10;6;0.0496;0.0000;104 B;0.81
AssetFlowCore.Benchmarks.Domain;AssetStateMachineBenchmark;'Asset() construction seule — coût d'instanciation';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;158.758 ns;2.5480 ns;2.1277 ns;159.283 ns;4.27;0.10;6;0.0610;0.0000;128 B;1.00
